Cust Id,Country,Phone,Email,Product ID
21,USA,+1 (775) 223-7665,kachase@hotmail.com,"prod2931, prod2327, prod1614, prod824, prod233"
22,USA,+1 (407) 999-7788,hleacock@gmail.com,"prod2941, prod2329, prod1622, prod841, prod235"
23,USA,+1 (617) 522-1333,johngordon22@yahoo.com,"prod2943, prod2338, prod1627, prod872, prod238"
24,USA,+1 (312) 332-3232,fralston@gmail.com,"prod2949, prod2348, prod1637, prod875, prod258"
25,USA,+1 (608) 257-0597,vstevens@yahoo.com,"prod2976, prod2373, prod1654, prod889, prod297"
26,USA,+1 (817) 924-7272,ricunningham@hotmail.com,"prod2996, prod2387, prod1663, prod903, prod340"
27,USA,+1 (520) 622-4200,patrick.gray@aol.com,"prod3006, prod2422, prod1702, prod906, prod373"
28,USA,+1 (801) 531-7272,jubarnett@gmail.com,"prod3009, prod2434, prod1705, prod929, prod383"
29,Canada,+1 (416) 363-8888,robbrown@shaw.ca,"prod3014, prod2437, prod1709, prod953, prod391"
30,Canada,+1 (613) 234-3322,edfrancis@yachoo.ca,"prod3019, prod2443, prod1722, prod980, prod412"
31,Canada,+1 (902) 450-0450,marthasilk@gmail.com,"prod3037, prod2461, prod1772, prod1013, prod421"
32,Canada,+1 (204) 452-6452,aaronmitchell@yahoo.ca,"prod3060, prod2468, prod1830, prod1031, prod427"
33,Canada,+1 (867) 920-2233,ellie.sullivan@shaw.ca,"prod3074, prod2473, prod1832, prod1042, prod459"
34,Portugal,+351 (213) 466-111,jfernandes@yahoo.pt,"prod3080, prod2486, prod1835, prod1055, prod479"
35,Portugal,+351 (225) 022-448,masampaio@sapo.pt,"prod3083, prod2488, prod1851, prod1076, prod504"
36,Germany,+49 030 26550280,hannah.schneider@yahoo.de,"prod3089, prod2492, prod1875, prod1095, prod519"
37,Germany,+49 069 40598889,fzimmermann@yahoo.de,"prod3092, prod2524, prod1879, prod1105, prod555"
38,Germany,+49 030 2141444,nschroder@surfeu.de,"prod3113, prod2530, prod1977, prod1119, prod561"
39,France,+33 01 49 70 65 65,camille.bernard@yahoo.fr,"prod3129, prod2531, prod1985, prod1147"
40,France,+33 01 47 42 71 71,dominiquelefebvre@gmail.com,"prod3147, prod2551, prod1987"
41,France,+33 04 78 30 30 30,marc.dubois@hotmail.com,"prod3167, prod2560"
42,France,+33 05 56 96 96 96,wyatt.girard@yahoo.fr,"prod3176, prod2566"
43,France,+33 03 80 73 66 99,isabelle_mercier@apple.fr,"prod3182, prod2612"
44,Finland,+358 09 870 2000,terhi.hamalainen@apple.fi,"prod3271, prod2628"
45,Hungary,,ladislav_kovacs@apple.hu,"prod3273, prod2633"
46,Ireland,+353 01 6792424,hughoreilly@apple.ie,"prod3285, prod1157"
47,Italy,+39 06 39733434,lucas.mancini@yahoo.it,"prod3310, prod1165"
48,Netherlands,+31 020 6223130,johavanderberg@yahoo.nl,"prod3327, prod1225"
49,Poland,+48 22 828 37 39,stanisław.wójcik@wp.pl,"prod3336, prod1229"
50,Spain,+34 914 454 454,enrique_munoz@yahoo.es,prod3338
51,Sweden,+46 08-651 52 52,joakim.johansson@yahoo.se,
52,United Kingdom,+44 020 7707 0707,emma_jones@hotmail.com,
53,United Kingdom,+44 020 7976 5722,phil.hughes@gmail.com,
63,United Kingdom,+44 0131 315 3300,steve.murray@yahoo.uk,
89,Australia,+61 (02) 9332 3633,mark.taylor@yahoo.au,
72,Argentina,+54 (0)11 4311 4333,diego.gutierrez@yahoo.ar,
94,Chile,+56 (0)2 635 4444,luisrojas@yahoo.cl,
99,India,+91 0124 39883988,manoj.pareek@rediff.com,
